,forecast
2025-09-30 19:45:00,3233.9533157587052
2025-09-30 20:00:00,3263.0365902066233
2025-09-30 20:15:00,3292.447398096323
2025-09-30 20:30:00,3320.313289467096
2025-09-30 20:45:00,3345.373048670292
2025-09-30 21:00:00,3367.2951464772227
2025-09-30 21:15:00,3386.0738919186592
2025-09-30 21:30:00,3401.895270712376
2025-09-30 21:45:00,3415.0506120491027
2025-09-30 22:00:00,3425.8733825087547
2025-09-30 22:15:00,3434.701044458151
2025-09-30 22:30:00,3441.8520500051977
2025-09-30 22:45:00,3447.614216891527
2025-09-30 23:00:00,3452.238553185463
2025-09-30 23:15:00,3455.9396205353737
2025-09-30 23:30:00,3458.8963817608355
